date,driver_id,hours_sleep,sleep_quality,start_mood,end_mood
2025-07-16,D004,8.2,"Peaceful sleep, felt refreshed in the morning.",Energetic,Motivated
2025-07-17,D001,7.9,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Happy
2025-07-17,D002,8.4,"Had a deep sleep, woke up with a smile.",Energetic,Happy
2025-07-17,D003,8.2,"Had a deep sleep, woke up with a smile.",Motivated,Energetic
2025-07-17,D004,8.0,"Rested and rejuvenated, ready to tackle the day ahead.",Energetic,Content
2025-07-18,D001,7.6,"Peaceful sleep, felt refreshed in the morning.",Energetic,Energetic
2025-07-18,D002,7.2,"Had a deep sleep, woke up with a smile.",Motivated,Motivated
2025-07-18,D003,7.8,"Rested and rejuvenated, ready to tackle the day ahead.",Happy,Motivated
2025-07-18,D004,8.4,"Had a deep sleep, woke up with a smile.",Content,Energetic
2025-07-19,D001,8.1,"Had a deep sleep, woke up with a smile.",Motivated,Happy
2025-07-19,D002,7.4,"Had a deep sleep, woke up with a smile.",Motivated,Content
2025-07-19,D003,8.1,"Had a deep sleep, woke up with a smile.",Content,Motivated
2025-07-19,D004,8.2,"Peaceful sleep, felt refreshed in the morning.",Motivated,Motivated
2025-07-20,D001,7.6,"Peaceful sleep, felt refreshed in the morning.",Happy,Content
2025-07-20,D002,8.1,"Slept like a baby, dreams of open roads and smooth rides.",Content,Energetic
2025-07-20,D003,8.0,"Had a deep sleep, woke up with a smile.",Content,Energetic
2025-07-20,D004,7.4,"Had a deep sleep, woke up with a smile.",Energetic,Happy
2025-07-21,D001,8.2,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Content
2025-07-21,D002,8.3,"Had a deep sleep, woke up with a smile.",Content,Motivated
2025-07-21,D003,8.5,"Peaceful sleep, felt refreshed in the morning.",Energetic,Motivated
2025-07-21,D004,8.5,"Had a deep sleep, woke up with a smile.",Motivated,Motivated
2025-07-22,D001,7.3,"Had a deep sleep, woke up with a smile.",Motivated,Motivated
2025-07-22,D002,7.5,"Peaceful sleep, felt refreshed in the morning.",Content,Happy
2025-07-22,D003,8.3,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Happy
2025-07-22,D004,8.3,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Content
2025-07-23,D001,8.3,"Had a deep sleep, woke up with a smile.",Motivated,Motivated
2025-07-23,D002,9.9,"Slept like a baby, dreams of open roads and smooth rides.",Content,Motivated
2025-07-23,D003,8.3,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Content
2025-07-23,D004,8.6,"Peaceful sleep, felt refreshed in the morning.",Happy,Content
2025-07-24,D001,8.5,"Peaceful sleep, felt refreshed in the morning.",Happy,Happy
2025-07-24,D002,8.3,"Peaceful sleep, felt refreshed in the morning.",Content,Energetic
2025-07-24,D003,7.8,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Motivated
2025-07-24,D004,8.4,"Had a deep sleep, woke up with a smile.",Energetic,Energetic
2025-07-25,D001,7.6,"Peaceful sleep, felt refreshed in the morning.",Content,Happy
2025-07-25,D002,7.9,"Peaceful sleep, felt refreshed in the morning.",Energetic,Happy
2025-07-25,D003,7.8,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Energetic
2025-07-25,D004,8.0,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Content
2025-07-26,D001,9.2,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Happy
2025-07-26,D002,7.1,"Rested and rejuvenated, ready to tackle the day ahead.",Happy,Energetic
2025-07-26,D003,8.3,"Rested and rejuvenated, ready to tackle the day ahead.",Energetic,Energetic
2025-07-26,D004,7.2,"Had a deep sleep, woke up with a smile.",Motivated,Energetic
2025-07-27,D001,7.8,"Peaceful sleep, felt refreshed in the morning.",Happy,Happy
2025-07-27,D002,8.5,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Motivated
2025-07-27,D003,8.0,"Slept like a baby, dreams of open roads and smooth rides.",Content,Content
2025-07-27,D004,7.5,"Rested and rejuvenated, ready to tackle the day ahead.",Happy,Content
2025-07-28,D001,7.6,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Energetic
2025-07-28,D002,8.3,"Had a deep sleep, woke up with a smile.",Motivated,Happy
2025-07-28,D003,7.6,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Motivated
2025-07-28,D004,8.1,"Had a deep sleep, woke up with a smile.",Happy,Content
2025-07-29,D001,8.0,"Peaceful sleep, felt refreshed in the morning.",Content,Energetic
2025-07-29,D002,7.7,"Slept like a baby, dreams of open roads and smooth rides.",Content,Content
2025-07-29,D003,9.1,"Peaceful sleep, felt refreshed in the morning.",Content,Happy
2025-07-29,D004,8.3,"Slept like a baby, dreams of open roads and smooth rides.",Content,Motivated
2025-07-30,D001,7.0,"Peaceful sleep, felt refreshed in the morning.",Energetic,Happy
2025-07-30,D002,8.1,"Had a deep sleep, woke up with a smile.",Motivated,Energetic
2025-07-30,D003,7.7,"Peaceful sleep, felt refreshed in the morning.",Energetic,Energetic
2025-07-30,D004,8.4,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Energetic
2025-07-31,D001,7.6,"Peaceful sleep, felt refreshed in the morning.",Motivated,Happy
2025-07-31,D002,7.9,"Slept like a baby, dreams of open roads and smooth rides.",Content,Happy
2025-07-31,D003,8.3,"Peaceful sleep, felt refreshed in the morning.",Happy,Content
2025-07-31,D004,8.4,"Had a deep sleep, woke up with a smile.",Energetic,Motivated
2025-08-01,D001,7.4,"Rested and rejuvenated, ready to tackle the day ahead.",Energetic,Energetic
2025-08-01,D002,7.8,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Motivated
2025-08-01,D003,7.8,"Had a deep sleep, woke up with a smile.",Motivated,Motivated
2025-08-01,D004,7.7,"Slept like a baby, dreams of open roads and smooth rides.",Content,Motivated
2025-08-02,D001,8.9,"Had a deep sleep, woke up with a smile.",Energetic,Motivated
2025-08-02,D002,8.2,"Had a deep sleep, woke up with a smile.",Happy,Energetic
2025-08-02,D003,7.4,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Motivated
2025-08-02,D004,8.5,"Peaceful sleep, felt refreshed in the morning.",Happy,Energetic
2025-08-03,D001,9.1,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Energetic
2025-08-03,D002,8.5,"Slept like a baby, dreams of open roads and smooth rides.",Content,Motivated
2025-08-03,D003,7.2,"Had a deep sleep, woke up with a smile.",Energetic,Happy
2025-08-03,D004,7.8,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Content
2025-08-04,D001,8.6,"Peaceful sleep, felt refreshed in the morning.",Energetic,Energetic
2025-08-04,D002,7.6,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Content
2025-08-04,D003,8.2,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Happy
2025-08-04,D004,8.4,"Had a deep sleep, woke up with a smile.",Happy,Content
2025-08-05,D001,7.5,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Happy
2025-08-05,D002,8.0,"Rested and rejuvenated, ready to tackle the day ahead.",Energetic,Motivated
2025-08-05,D003,6.4,"Peaceful sleep, felt refreshed in the morning.",Energetic,Energetic
2025-08-05,D004,7.5,"Had a deep sleep, woke up with a smile.",Content,Energetic
2025-08-06,D001,7.9,"Rested and rejuvenated, ready to tackle the day ahead.",Energetic,Content
2025-08-06,D002,7.4,"Rested and rejuvenated, ready to tackle the day ahead.",Happy,Motivated
2025-08-06,D003,8.8,"Had a deep sleep, woke up with a smile.",Motivated,Motivated
2025-08-06,D004,7.3,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Motivated
2025-08-07,D001,7.8,"Had a deep sleep, woke up with a smile.",Content,Energetic
2025-08-07,D002,8.1,"Had a deep sleep, woke up with a smile.",Motivated,Motivated
2025-08-07,D003,8.7,"Had a deep sleep, woke up with a smile.",Energetic,Motivated
2025-08-07,D004,7.3,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Energetic
2025-08-08,D001,8.6,"Rested and rejuvenated, ready to tackle the day ahead.",Energetic,Happy
2025-08-08,D002,8.0,"Peaceful sleep, felt refreshed in the morning.",Energetic,Energetic
2025-08-08,D003,7.5,"Had a deep sleep, woke up with a smile.",Content,Energetic
2025-08-08,D004,8.2,"Slept like a baby, dreams of open roads and smooth rides.",Content,Motivated
2025-08-09,D001,8.1,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Happy
2025-08-09,D002,7.7,"Had a deep sleep, woke up with a smile.",Happy,Content
2025-08-09,D003,8.0,"Had a deep sleep, woke up with a smile.",Content,Happy
2025-08-09,D004,7.8,"Had a deep sleep, woke up with a smile.",Motivated,Motivated
2025-08-10,D001,8.1,"Had a deep sleep, woke up with a smile.",Happy,Motivated
2025-08-10,D002,8.3,"Had a deep sleep, woke up with a smile.",Motivated,Energetic
2025-08-10,D003,8.8,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Content
2025-08-10,D004,7.4,"Peaceful sleep, felt refreshed in the morning.",Content,Happy
2025-08-11,D001,9.1,"Had a deep sleep, woke up with a smile.",Happy,Happy
2025-08-11,D002,7.0,"Had a deep sleep, woke up with a smile.",Content,Motivated
2025-08-11,D003,7.9,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Motivated
2025-08-11,D004,8.3,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Motivated
2025-08-12,D001,8.1,"Peaceful sleep, felt refreshed in the morning.",Energetic,Content
2025-08-12,D002,7.7,"Rested and rejuvenated, ready to tackle the day ahead.",Energetic,Content
2025-08-12,D003,7.9,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Happy
2025-08-12,D004,7.8,"Had a deep sleep, woke up with a smile.",Content,Energetic
2025-08-13,D001,7.7,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Energetic
2025-08-13,D002,8.4,"Peaceful sleep, felt refreshed in the morning.",Energetic,Motivated
2025-08-13,D003,8.2,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Motivated
2025-08-13,D004,7.7,"Rested and rejuvenated, ready to tackle the day ahead.",Happy,Energetic
2025-08-14,D001,8.4,"Peaceful sleep, felt refreshed in the morning.",Motivated,Energetic
2025-08-14,D002,8.2,"Peaceful sleep, felt refreshed in the morning.",Energetic,Motivated
2025-08-14,D003,8.4,"Rested and rejuvenated, ready to tackle the day ahead.",Energetic,Energetic
2025-08-14,D004,8.3,"Slept like a baby, dreams of open roads and smooth rides.",Content,Energetic
2025-08-15,D001,7.6,"Peaceful sleep, felt refreshed in the morning.",Motivated,Motivated
2025-08-15,D002,7.7,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Motivated
2025-08-15,D003,8.4,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Energetic
2025-08-15,D004,8.3,"Peaceful sleep, felt refreshed in the morning.",Content,Motivated
2025-08-16,D001,8.0,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Motivated
2025-08-16,D002,8.1,"Rested and rejuvenated, ready to tackle the day ahead.",Happy,Happy
2025-08-16,D003,8.6,"Peaceful sleep, felt refreshed in the morning.",Energetic,Happy
2025-08-16,D004,7.7,"Peaceful sleep, felt refreshed in the morning.",Content,Happy
2025-08-17,D001,8.3,"Peaceful sleep, felt refreshed in the morning.",Motivated,Energetic
2025-08-17,D002,7.9,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Content
2025-08-17,D003,7.9,"Peaceful sleep, felt refreshed in the morning.",Motivated,Content
2025-08-17,D004,8.5,"Peaceful sleep, felt refreshed in the morning.",Energetic,Motivated
2025-08-18,D001,8.4,"Peaceful sleep, felt refreshed in the morning.",Happy,Energetic
2025-08-18,D002,8.4,"Slept like a baby, dreams of open roads and smooth rides.",Content,Content
2025-08-18,D003,8.7,"Had a deep sleep, woke up with a smile.",Motivated,Happy
2025-08-18,D004,8.0,"Had a deep sleep, woke up with a smile.",Happy,Motivated
2025-08-19,D001,8.3,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Motivated
2025-08-19,D002,7.8,"Peaceful sleep, felt refreshed in the morning.",Energetic,Motivated
2025-08-19,D003,8.2,"Slept like a baby, dreams of open roads and smooth rides.",Content,Energetic
2025-08-19,D004,7.9,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Content
2025-08-20,D001,8.0,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Motivated
2025-08-20,D002,8.3,"Had a deep sleep, woke up with a smile.",Happy,Content
2025-08-20,D003,7.6,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Motivated
2025-08-20,D004,9.0,"Had a deep sleep, woke up with a smile.",Happy,Happy
2025-08-21,D001,7.5,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Energetic
2025-08-21,D002,7.4,"Had a deep sleep, woke up with a smile.",Motivated,Energetic
2025-08-21,D003,8.6,"Rested and rejuvenated, ready to tackle the day ahead.",Energetic,Happy
2025-08-21,D004,8.4,"Had a deep sleep, woke up with a smile.",Energetic,Motivated
2025-08-22,D001,8.3,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Content
2025-08-22,D002,8.3,"Had a deep sleep, woke up with a smile.",Energetic,Content
2025-08-22,D003,8.0,"Peaceful sleep, felt refreshed in the morning.",Happy,Motivated
2025-08-22,D004,7.6,"Peaceful sleep, felt refreshed in the morning.",Happy,Energetic
2025-08-23,D001,8.0,"Peaceful sleep, felt refreshed in the morning.",Content,Happy
2025-08-23,D002,7.7,"Had a deep sleep, woke up with a smile.",Happy,Content
2025-08-23,D003,8.5,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Motivated
2025-08-23,D004,7.9,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Content
2025-08-24,D001,7.6,"Slept like a baby, dreams of open roads and smooth rides.",Content,Content
2025-08-24,D002,7.8,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Content
2025-08-24,D003,8.2,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Content
2025-08-24,D004,7.7,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Content
2025-08-25,D001,7.6,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Content
2025-08-25,D002,8.1,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Content
2025-08-25,D003,8.1,"Peaceful sleep, felt refreshed in the morning.",Happy,Content
2025-08-25,D004,7.7,"Peaceful sleep, felt refreshed in the morning.",Happy,Content
2025-08-26,D001,7.8,"Had a deep sleep, woke up with a smile.",Happy,Happy
2025-08-26,D002,8.1,"Had a deep sleep, woke up with a smile.",Energetic,Motivated
2025-08-26,D003,7.3,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Content
2025-08-26,D004,7.3,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Energetic
2025-08-27,D001,7.6,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Energetic
2025-08-27,D002,7.9,"Had a deep sleep, woke up with a smile.",Energetic,Happy
2025-08-27,D003,8.2,"Had a deep sleep, woke up with a smile.",Energetic,Happy
2025-08-27,D004,8.7,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Content
2025-08-28,D001,8.4,"Slept like a baby, dreams of open roads and smooth rides.",Content,Motivated
2025-08-28,D002,7.9,"Peaceful sleep, felt refreshed in the morning.",Energetic,Motivated
2025-08-28,D003,8.0,"Had a deep sleep, woke up with a smile.",Energetic,Happy
2025-08-28,D004,7.5,"Slept like a baby, dreams of open roads and smooth rides.",Content,Energetic
2025-08-29,D001,8.0,"Had a deep sleep, woke up with a smile.",Content,Energetic
2025-08-29,D002,7.9,"Peaceful sleep, felt refreshed in the morning.",Energetic,Energetic
2025-08-29,D003,8.2,"Had a deep sleep, woke up with a smile.",Happy,Motivated
2025-08-29,D004,7.6,"Had a deep sleep, woke up with a smile.",Motivated,Motivated
2025-08-30,D001,8.3,"Peaceful sleep, felt refreshed in the morning.",Content,Energetic
2025-08-30,D002,8.8,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Happy
2025-08-30,D003,7.9,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Happy
2025-08-30,D004,8.2,"Peaceful sleep, felt refreshed in the morning.",Content,Happy
2025-08-31,D001,8.3,"Peaceful sleep, felt refreshed in the morning.",Happy,Energetic
2025-08-31,D002,7.8,"Peaceful sleep, felt refreshed in the morning.",Energetic,Happy
2025-08-31,D003,8.1,"Peaceful sleep, felt refreshed in the morning.",Motivated,Motivated
2025-08-31,D004,8.0,"Slept like a baby, dreams of open roads and smooth rides.",Content,Content
